Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA4 (UR), AGE5P - Age in Five Year Groups, SEXP Sex, INGP Indigenous Status, HEAP Level of Highest Educational Attainment and LFSP Labour Force Status"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","SA4 (UR)","AGE5P - Age in Five Year Groups","SEXP Sex","INGP Indigenous Status","HEAP Level of Highest Educational Attainment","LFSP Labour Force Status","Count",
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",10
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",6
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",59
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",9
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",165
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",63
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Female","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",62
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",8
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",86
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",18
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Female","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","30-34 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",14
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",12
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",21
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",6
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",123
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",49
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",6
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Female","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",3
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",5
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",27
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",7
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",44
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",16
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Female","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","35-39 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",13
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",9
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",20
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",11
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",135
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",52
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Female","ATSI (any)","Degree-level or higher","Employed, any",3
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",28
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",45
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",22
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Female","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","40-44 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",8
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",8
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",19
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",9
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",120
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",39
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Female","ATSI (any)","Degree-level or higher","Employed, any",3
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",3
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",24
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",7
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",59
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",24
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Female","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","No Usual Address (Qld)","45-49 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",0
